DRGDefinition,ProviderName,ProviderCity,ZipCode,RefRegion,Discharges ,AvgCoveredCharges,AvgTotPayments,AvgMedicarePayment
"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,13,20089.92,5551.3,4772.53
"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,13,35846.38,7479.07,6453.84
291 - HEART FAILURE & SHOCK W MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,76,30753.57,10135.8,9518.36
292 - HEART FAILURE & SHOCK W CC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,51,20901.07,7030.25,6217.76
293 - HEART FAILURE & SHOCK W/O CC/MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,36,17744.5,4785,4038.33
308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,17,29158.94,8930.17,7511.23
309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,22,17066.59,5859.45,4889.27
310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,31,15517.8,3979.87,2928.12
312 - SYNCOPE & COLLAPSE,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,31,20257.58,5007.29,4248.7
313 - CHEST PAIN,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,45,18499.8,3824.86,2968.48
314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,11,50866.18,12669.09,12157.45
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,12,181944.91,46858.16,45797.08
377 - G.I. HEMORRHAGE W MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,14,33729.92,11897.42,11495.42
378 - G.I. HEMORRHAGE W CC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,22,25293.09,8138.5,6031.18
389 - G.I. OBSTRUCTION W CC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,13,39382.92,7505.46,6724.23
"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,15,40140.6,7802.4,7052
"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,67,20222.22,5030.77,4222.98
394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,12,21324.66,6939.25,6284.25
439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,13,24330.84,7044.3,6263.07
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,30,62683.03,14574.03,13489.36
481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,12,58932.08,12669.08,11644.75
536 - FRACTURES OF HIP & PELVIS W/O MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,12,14051.33,4942.5,3815.83
602 - CELLULITIS W MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,13,31993.61,10102.92,9218.38
603 - CELLULITIS W/O MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,55,19253.29,5798.61,4970.87
"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,31,29890.35,7953.35,7554.74
"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,31,15123.03,4780.64,3988.64
682 - RENAL FAILURE W MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,16,35776.93,11118.31,10556.31
683 - RENAL FAILURE W CC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,23,23611.21,6918.78,6235.3
689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,35,32673.51,8329.6,7597.45
690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,58,17132.67,5334.65,4502.68
812 - RED BLOOD CELL DISORDERS W/O MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,14,16284.42,5233.42,4382
871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,69,55024.08,14030.33,12505.86
872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,23,25266.56,8022.04,7297.47
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,16,13294.18,4547.18,3772.93
948 - SIGNS & SYMPTOMS W/O MCC,AUBURN REGIONAL MEDICAL CENTER,AUBURN,98001,WA - Seattle,11,19611.63,4680,3762.54
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,35,24376.68,6476,4808.51
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,33,33949.21,11457.27,10174.27
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,80,26222.33,6944.58,5881.52
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,48,20303.58,4903.29,3848.7
069 - TRANSIENT ISCHEMIA,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,44,16295.79,4536.61,3282.18
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,11,16551.27,5261.81,4238.54
101 - SEIZURES W/O MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,18,20001.05,5161.55,3448.27
176 - PULMONARY EMBOLISM W/O MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,37,19912.75,6448.02,5290.59
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,43,35712.58,12039.55,11249.16
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,55,21604.6,8220.87,7486.9
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,40,29400.92,8108.1,6794.2
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,34,26253.79,7253.35,6175.5
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,31,18616.35,5997.83,4738
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,22,11361.54,4582,3193.13
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,41,28023.56,8978.63,8072.97
194 - SIMPLE PNEUMONIA & PLEURISY W CC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,86,17013.24,6098.3,4807.3
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,44,12170.43,4409.13,3243.97
202 - BRONCHITIS & ASTHMA W CC/MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,19,19792,5294.57,3988.73
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,43,44343.86,14076.13,13305.48
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,25,79290,21965,17670.48
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,12,51790.25,17500.16,12767.08
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,23,47021.52,12421.17,11442.39
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,17,69543.05,19442.29,18713.58
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,92,52751.55,12487.58,10937.4
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,23,44499,84499.26,8500.6
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,15,50345.26,10999,10250.73
252 - OTHER VASCULAR PROCEDURES W MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,24,57390.5,20505.79,19852.12
253 - OTHER VASCULAR PROCEDURES W CC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,26,56267.42,15444.61,14669.5
254 - OTHER VASCULAR PROCEDURES W/O CC/MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,26,33939.8,9874.76,8924.3
"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,29,30608.82,11024.31,9999.24
"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,21,23565,7127.95,6271.57
"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,15,67721.4,13378.4,12474.93
"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,55,35241.29,7159.72,5673.9
291 - HEART FAILURE & SHOCK W MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,67,29092.02,8931.35,8316.17
292 - HEART FAILURE & SHOCK W CC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,120,19739.32,6237.14,5390.19
293 - HEART FAILURE & SHOCK W/O CC/MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,45,14298.02,4259.46,3180.17
300 - PERIPHERAL VASCULAR DISORDERS W CC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,24,21442.91,5976.66,5273.16
308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,34,20360.05,7575.85,6528.73
309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,37,13758.45,5127.83,4281.56
310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,36,12166.08,3490.08,2554.75
312 - SYNCOPE & COLLAPSE,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,39,15690.23,4384.43,3491.2
313 - CHEST PAIN,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,11,10777.45,4065,2136.18
314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,20,30726.6,11126.4,10397.05
315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,16,21885.75,5728,4706.12
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,26,110522.88,35416.34,33260.46
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,56,49178.94,16104.08,14445.46
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,30,18953.23,7792.4,6701.96
377 - G.I. HEMORRHAGE W MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,24,31337.29,10187.79,9299.62
378 - G.I. HEMORRHAGE W CC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,59,18556.45,6290.67,5176.93
389 - G.I. OBSTRUCTION W CC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,30,19143.5,5711.93,4811.66
390 - G.I. OBSTRUCTION W/O CC/MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,25,11967.08,3849.8,2909.16
"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,16,20243.87,7061.62,6218.62
"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,84,15251.53,4428.04,3460.55
394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,24,19849.16,6076.08,5373.91
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,19,35869.52,11596.15,8586.57
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,16,27391.12,7151.56,6096.31
439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,12,15080.08,6684.66,4999.25
460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,48,102534.6,25732.85,23905.52
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,11,53588.27,17711.81,16682.72
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,390,45672.16,13444.47,10980.76
480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,14,44807.71,16598.57,15556.57
481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,72,35935.45,10677.87,9647.76
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,17,30471.52,9338.35,8350.82
491 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,63,21395.33,6365.9,4636.07
536 - FRACTURES OF HIP & PELVIS W/O MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,26,13419.38,4205.76,3252.84
552 - MEDICAL BACK PROBLEMS W/O MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,23,17458.91,4977.6,3671.52
602 - CELLULITIS W MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,18,20938.44,8345.61,7535.16
603 - CELLULITIS W/O MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,60,14104.71,5199.06,3868.76
"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,15,22335.93,7503.6,6828.66
"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,56,13033.37,4087.73,3215.03
682 - RENAL FAILURE W MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,32,27038.21,10275.12,8792.96
683 - RENAL FAILURE W CC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,69,18033.97,6168.75,5445.85
689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,30,17140.63,7082.4,6344.36
690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,140,15183.8,4727.92,3809.95
698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,25,22101.68,9373.2,8746.96
699 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,24,13946.37,5712.58,5149.25
812 - RED BLOOD CELL DISORDERS W/O MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,50,11126.92,4828.04,4006.24
853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,21,97911.19,33315.8,30688.95
871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,86,33691.17,11937.79,10942.67
872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,91,17242.56,7057.26,5711.54
918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,15,11916.6,3819.86,2994
948 - SIGNS & SYMPTOMS W/O MCC,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,98004,WA - Seattle,19,20907.73,4199.52,3153.52
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,ST JOSEPH MEDICAL CENTER,BELLINGHAM,98225,WA - Seattle,24,22794.33,7639.87,5496.95
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,ST JOSEPH MEDICAL CENTER,BELLINGHAM,98225,WA - Seattle,12,18488.91,6050.91,5118.25
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,ST JOSEPH MEDICAL CENTER,BELLINGHAM,98225,WA - Seattle,30,32839,12839.5,11941.33
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,ST JOSEPH MEDICAL CENTER,BELLINGHAM,98225,WA - Seattle,62,21956.3,7719.35,6311.61
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,ST JOSEPH MEDICAL CENTER,BELLINGHAM,98225,WA - Seattle,53,20739.98,5642.62,4562.58
069 - TRANSIENT ISCHEMIA,ST JOSEPH MEDICAL CENTER,BELLINGHAM,98225,WA - Seattle,36,13928.16,5000.5,4190.05
101 - SEIZURES W/O MCC,ST JOSEPH MEDICAL CENTER,BELLINGHAM,98225,WA - Seattle,17,20978.29,5035.41,4175.41
176 - PULMONARY EMBOLISM W/O MCC,ST JOSEPH MEDICAL CENTER,BELLINGHAM,98225,WA - Seattle,16,26699.5,8457,5177.87
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,ST JOSEPH MEDICAL CENTER,BELLINGHAM,98225,WA - Seattle,17,42982.35,13479.58,13015.35
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,ST JOSEPH MEDICAL CENTER,BELLINGHAM,98225,WA - Seattle,37,27877.21,10192.24,8759.83
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,ST JOSEPH MEDICAL CENTER,BELLINGHAM,98225,WA - Seattle,40,44870.3,10409.5,9805.85
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,ST JOSEPH MEDICAL CENTER,BELLINGHAM,98225,WA - Seattle,42,23961.19,8070.85,7293.04
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,ST JOSEPH MEDICAL CENTER,BELLINGHAM,98225,WA - Seattle,59,20341.67,6635.03,5738.15
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,ST JOSEPH MEDICAL CENTER,BELLINGHAM,98225,WA - Seattle,70,15461.57,5122.62,3908.44
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,ST JOSEPH MEDICAL CENTER,BELLINGHAM,98225,WA - Seattle,43,35170.83,10332.27,9549.95
